start,end,text,progress,fuzzy,locked,ends_today,category,description,hyperlink,alert,icon,default_color,milestone,add_lifespan_org,add_start_vCh,add_end_vCh,add_start_end_ok,add_mods,add_ok
-624,-546,Thales von Milet,,True,,,Antike # Vorsokratiker 600–400 v. Chr.,,,,,,,um 624–546 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
-610,-547,Anaximander,,True,,,Antike # Vorsokratiker 600–400 v. Chr.,,,,,,,um 610–547 v. Chr.,True,True,,"vor_Chr, um, \d{1,4}[–|-]\d{1,4}$",ok
